chave,titulo,squad,squad_original,lake,fase,recurso,mediana_usada,data_inicio,data_fim,duracao_dias,status_atual
BF3E4-2972,[COMERCIAL - 82] QFS Brasil - Checkbox (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 6,"3,54 dias",01/06/2026,05/06/2026,3.54,Open
BF3E4-2980,[COMERCIAL - 83] QFS Brasil - Checkbox (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 18 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
BF3E4-2980,[COMERCIAL - 83] QFS Brasil - Checkbox (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 4,"3,54 dias",01/06/2026,05/06/2026,3.54,Open
BF3E4-2987,[COMERCIAL - 84] QFS Brasil - Verbatim e Canceled (Staging e DataMart) - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 19 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
BF3E4-2987,[COMERCIAL - 84] QFS Brasil - Verbatim e Canceled (Staging e DataMart) - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 1,"3,54 dias",01/06/2026,05/06/2026,3.54,Open
BF3E4-3002,[COMERCIAL - 85] QFS Brasil - KPIs e Logs - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 20 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
BF3E4-3002,[COMERCIAL - 85] QFS Brasil - KPIs e Logs - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 3,"3,54 dias",01/06/2026,05/06/2026,3.54,Open
BF3E4-3012,[COMERCIAL - 86] QFS Argentina - Metadata e Population (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 1 - Squad 6,"7,01 dias",25/05/2026,01/06/2026,7.01,Open
BF3E4-3012,[COMERCIAL - 86] QFS Argentina - Metadata e Population (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 2,"3,54 dias",01/06/2026,05/06/2026,3.54,Open
BF3E4-3030,[COMERCIAL - 87] QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 2 - Squad 6,"7,01 dias",25/05/2026,01/06/2026,7.01,Open
